Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_650.wav;yellow;7;7.8
Negative;1;audio_651.wav;yellow;2;29.7
Negative;1;audio_652.wav;lightslategray;6;14.4
Negative;1;audio_653.wav;lime;4;3.7
Negative;1;audio_654.wav;red;4;5.7
Negative;1;audio_655.wav;darkgray;8;14.0
Negative;1;audio_656.wav;yellow;4;10.2
Negative;1;audio_657.wav;red;11;16.2
Negative;1;audio_658.wav;blue;3;10.1
Negative;1;audio_659.wav;lime;3;1.6
Negative;1;audio_66.wav;yellow;10;35.7
Negative;1;audio_660.wav;blue;4;7.2
Negative;1;audio_661.wav;lime;5;8.1
Negative;1;audio_662.wav;palevioletred;6;26.7
Negative;1;audio_663.wav;lime;8;3.4
Negative;1;audio_664.wav;darkturquoise;5;35.0
Negative;1;audio_665.wav;blue;4;2.4
Negative;1;audio_666.wav;yellow;1;8.8
Negative;1;audio_667.wav;palevioletred;7;5.2
Negative;1;audio_668.wav;palevioletred;7;5.6
Negative;1;audio_669.wav;lime;10;29.2
Positive;0;audio_67.wav;lime;4;43.4
Negative;1;audio_670.wav;blue;2;4.7
Negative;1;audio_671.wav;red;6;7.7
Negative;1;audio_672.wav;blue;4;10.2
Negative;1;audio_673.wav;indianred;7;6.1
Negative;1;audio_674.wav;red;1;7.7
Negative;1;audio_675.wav;darksalmon;3;0.8
Negative;1;audio_676.wav;red;6;21.6
Negative;1;audio_677.wav;lime;1;19.8
Negative;1;audio_678.wav;blue;7;16.5
Negative;1;audio_679.wav;yellow;4;1.1
Positive;0;audio_68.wav;yellowgreen;4;2.8
Negative;1;audio_680.wav;red;5;8.3
Negative;1;audio_681.wav;blue;5;10.2
Negative;1;audio_682.wav;yellow;3;9.6
Negative;1;audio_683.wav;red;2;3.7
Negative;1;audio_684.wav;darksalmon;6;8.0
Negative;1;audio_685.wav;yellow;5;10.6
Negative;1;audio_686.wav;blue;1;5.3
Negative;1;audio_687.wav;red;11;29.8
Negative;1;audio_688.wav;red;5;22.3
Negative;1;audio_689.wav;red;4;8.8
Positive;0;audio_69.wav;lime;5;54.9
Negative;1;audio_690.wav;gold;6;44.2
Negative;1;audio_691.wav;lime;3;9.3
Negative;1;audio_692.wav;yellow;6;14.4
Negative;1;audio_693.wav;palevioletred;6;6.3
Negative;1;audio_694.wav;darkturquoise;3;1.2
Negative;1;audio_695.wav;red;8;20.7
Negative;1;audio_696.wav;darkturquoise;2;5.9
Negative;1;audio_697.wav;red;3;5.7
Negative;1;audio_698.wav;yellow;4;3.6
Negative;1;audio_699.wav;indianred;8;22.9
Negative;1;audio_7.wav;red;1;11.0
Positive;0;audio_70.wav;black;2;5.4
Negative;1;audio_700.wav;sienna;1;38.2
Negative;1;audio_701.wav;lightslategray;1;0.8
Negative;1;audio_702.wav;indianred;4;2.0
Negative;1;audio_703.wav;blue;7;4.6
Negative;1;audio_704.wav;yellow;4;6.2
Negative;1;audio_705.wav;blue;8;12.0
Negative;1;audio_706.wav;palevioletred;9;10.8
Negative;1;audio_707.wav;blue;5;7.1
Negative;1;audio_708.wav;sienna;4;20.8
Negative;1;audio_709.wav;yellow;6;8.1
Negative;1;audio_71.wav;lime;8;19.8
Negative;1;audio_710.wav;yellow;4;3.3
Negative;1;audio_711.wav;lime;10;11.6
Negative;1;audio_712.wav;blue;3;4.0
Negative;1;audio_713.wav;red;2;4.0
Negative;1;audio_715.wav;black;4;6.4
Negative;1;audio_716.wav;blue;4;11.9
Negative;1;audio_717.wav;black;4;9.8
Negative;1;audio_718.wav;black;2;2.9
Negative;1;audio_719.wav;darkgray;2;2.3
Positive;0;audio_72.wav;dimgray;8;36.6
Negative;1;audio_720.wav;yellow;4;16.0
Negative;1;audio_721.wav;lime;4;3.2
Negative;1;audio_722.wav;darkturquoise;2;6.1
Negative;1;audio_723.wav;lime;7;8.7
Negative;1;audio_724.wav;palevioletred;10;23.8
Negative;1;audio_725.wav;sienna;6;8.3
Negative;1;audio_726.wav;lime;4;10.8
Negative;1;audio_727.wav;darkgray;5;24.3
Negative;1;audio_728.wav;red;5;0.7
Negative;1;audio_729.wav;blue;5;34.9
Negative;1;audio_73.wav;yellow;4;13.7
Negative;1;audio_730.wav;blue;2;19.5
Negative;1;audio_731.wav;blue;9;9.5
Negative;1;audio_732.wav;palevioletred;10;22.8
Negative;1;audio_733.wav;red;4;0.5
Negative;1;audio_734.wav;lime;1;6.4
Negative;1;audio_735.wav;darkgray;3;6.5
Negative;1;audio_736.wav;darkgray;5;7.6
Negative;1;audio_737.wav;blue;7;12.4
Negative;1;audio_738.wav;sienna;9;17.0
Negative;1;audio_739.wav;darkturquoise;7;11.3
Negative;1;audio_740.wav;darkgray;4;15.0
Negative;1;audio_741.wav;lime;5;14.4
Negative;1;audio_742.wav;gold;8;7.7
Negative;1;audio_743.wav;black;5;5.4
Negative;1;audio_744.wav;blue;4;25.5
Negative;1;audio_745.wav;darkgray;3;3.3
Negative;1;audio_746.wav;darksalmon;3;5.8
Negative;1;audio_747.wav;yellow;3;12.5
Negative;1;audio_748.wav;red;10;23.5
Negative;1;audio_749.wav;red;5;41.9
Negative;1;audio_75.wav;blue;5;34.7
Negative;1;audio_750.wav;darkgray;11;25.9
Negative;1;audio_751.wav;darksalmon;7;12.7
Negative;1;audio_752.wav;blue;8;25.4
Negative;1;audio_753.wav;yellow;10;24.7
Negative;1;audio_755.wav;coral;6;25.9
Negative;1;audio_756.wav;yellow;3;5.0
Negative;1;audio_757.wav;steelblue;8;12.6
Negative;1;audio_758.wav;gold;4;7.8
Negative;1;audio_759.wav;yellow;6;25.1
Positive;0;audio_76.wav;lime;4;21.1
Negative;1;audio_760.wav;blue;5;1.7
Negative;1;audio_761.wav;darkturquoise;2;3.9
Negative;1;audio_762.wav;yellow;4;2.3
Negative;1;audio_763.wav;black;9;6.8
Negative;1;audio_764.wav;red;6;3.6
Negative;1;audio_765.wav;palevioletred;3;6.2
Negative;1;audio_766.wav;lime;6;11.4
Negative;1;audio_767.wav;lime;6;18.3
Negative;1;audio_768.wav;darkturquoise;9;15.0
Negative;1;audio_769.wav;palevioletred;4;8.1
Positive;0;audio_77.wav;lime;5;22.1
Negative;1;audio_770.wav;red;4;11.4
Negative;1;audio_771.wav;darkturquoise;4;5.1
Negative;1;audio_772.wav;blue;2;4.6
Negative;1;audio_773.wav;blue;3;8.8
Negative;1;audio_774.wav;sienna;5;16.4
Negative;1;audio_775.wav;blue;6;23.1
Negative;1;audio_776.wav;sienna;2;17.2
Negative;1;audio_777.wav;blue;4;8.0
Negative;1;audio_778.wav;lime;8;32.8
Negative;1;audio_779.wav;blue;11;28.8
Positive;0;audio_78.wav;darkturquoise;4;18.1
Negative;1;audio_780.wav;blue;4;2.4
Negative;1;audio_781.wav;red;1;4.5
Negative;1;audio_782.wav;red;2;2.7
Negative;1;audio_783.wav;yellow;4;2.1
Negative;1;audio_784.wav;blue;7;15.7
Negative;1;audio_785.wav;red;2;37.3
Negative;1;audio_786.wav;darkturquoise;2;3.9
Negative;1;audio_787.wav;lime;4;9.3
Negative;1;audio_788.wav;yellow;7;9.0
Negative;1;audio_789.wav;lime;10;14.9
Positive;0;audio_79.wav;palevioletred;11;68.4
Negative;1;audio_790.wav;lime;5;9.0
Negative;1;audio_791.wav;lime;3;2.0
Negative;1;audio_792.wav;lime;3;4.2
Negative;1;audio_793.wav;palevioletred;7;20.9
Negative;1;audio_794.wav;blue;3;4.3
Negative;1;audio_795.wav;red;3;7.7
Negative;1;audio_796.wav;blue;4;13.7
Negative;1;audio_797.wav;darkgray;6;9.5
Negative;1;audio_798.wav;sienna;7;19.2
Negative;1;audio_799.wav;blue;7;9.2
Positive;0;audio_8.wav;blue;6;11.9
Negative;1;audio_80.wav;red;1;7.7
Negative;1;audio_800.wav;yellow;4;31.1
Negative;1;audio_801.wav;sienna;5;6.3
Negative;1;audio_802.wav;red;6;13.8
Negative;1;audio_803.wav;lime;9;22.4
Negative;1;audio_804.wav;black;5;20.9
Negative;1;audio_805.wav;lime;4;4.3
Negative;1;audio_806.wav;palevioletred;7;2.5
Negative;1;audio_807.wav;black;7;4.2
Negative;1;audio_808.wav;red;1;4.0
Negative;1;audio_809.wav;yellow;2;20.9
Negative;1;audio_81.wav;red;1;5.6
Negative;1;audio_810.wav;red;3;5.3
Positive;0;audio_819.wav;yellow;3;10.2
Negative;1;audio_82.wav;blue;3;15.0
Positive;0;audio_83.wav;darkslategray;2;12.0
Positive;0;audio_84.wav;blue;2;80.4
Negative;1;audio_86.wav;blue;1;92.5
Negative;1;audio_87.wav;blue;5;11.3
Negative;1;audio_88.wav;steelblue;5;9.4
Negative;1;audio_89.wav;darksalmon;9;11.7
Negative;1;audio_9.wav;gold;11;35.4
Negative;1;audio_90.wav;blue;6;6.7
Negative;1;audio_91.wav;red;7;9.7
Negative;1;audio_92.wav;blue;3;33.8
Positive;0;audio_93.wav;midnightblue;9;22.7
Positive;0;audio_94.wav;darkturquoise;8;14.7
Positive;0;audio_95.wav;darksalmon;8;17.2
Positive;0;audio_97.wav;steelblue;5;12.9
Positive;0;audio_98.wav;coral;6;56.8
Positive;0;audio_99.wav;lime;2;10.0
