Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Positive;0;audio_236.wav;red;5;7.4
Positive;0;audio_237.wav;darkgray;3;7.3
Negative;1;audio_238.wav;blue;10;13.3
Negative;1;audio_239.wav;blue;5;6.8
Positive;0;audio_24.wav;blue;6;9.4
Negative;1;audio_240.wav;sienna;7;23.5
Negative;1;audio_241.wav;darkturquoise;4;5.4
Negative;1;audio_242.wav;lime;7;23.2
Negative;1;audio_243.wav;blue;5;4.1
Negative;1;audio_244.wav;blue;2;5.0
Negative;1;audio_245.wav;red;1;17.1
Negative;1;audio_246.wav;darkturquoise;2;7.0
Negative;1;audio_247.wav;red;4;5.1
Negative;1;audio_248.wav;black;3;18.1
Negative;1;audio_249.wav;darksalmon;3;9.1
Positive;0;audio_25.wav;black;3;22.5
Negative;1;audio_250.wav;palevioletred;2;11.6
Negative;1;audio_251.wav;darkgray;4;27.3
Negative;1;audio_252.wav;black;9;15.6
Negative;1;audio_253.wav;yellow;9;9.4
Negative;1;audio_254.wav;lime;3;10.8
Negative;1;audio_255.wav;steelblue;3;15.3
Negative;1;audio_256.wav;blue;4;9.0
Negative;1;audio_257.wav;sienna;7;21.2
Negative;1;audio_258.wav;darkturquoise;3;5.1
Negative;1;audio_259.wav;yellow;3;6.5
Positive;0;audio_26.wav;yellow;3;22.1
Negative;1;audio_260.wav;blue;2;33.2
Negative;1;audio_261.wav;blue;5;12.7
Negative;1;audio_262.wav;red;4;4.5
Negative;1;audio_263.wav;red;2;3.5
Negative;1;audio_264.wav;black;4;8.3
Negative;1;audio_265.wav;yellow;5;8.7
Negative;1;audio_266.wav;red;4;19.6
Negative;1;audio_267.wav;blue;4;5.5
Negative;1;audio_268.wav;black;5;11.3
Negative;1;audio_269.wav;blue;8;5.8
Negative;1;audio_27.wav;yellow;5;5.1
Negative;1;audio_270.wav;lime;3;20.3
Negative;1;audio_271.wav;red;3;1.3
Negative;1;audio_272.wav;lime;4;6.4
Negative;1;audio_273.wav;yellow;4;4.6
Negative;1;audio_274.wav;lime;3;2.8
